System,Optimization method,Metric,Value
BelousovZhabotinsky,Regular KFs,MSE,0.0001239524239086
BelousovZhabotinsky,Regular KFs,Hausdorff Distance,0.7639422606612349
BelousovZhabotinsky,Regular KFs,SMAPE,0.0067846818920691
BelousovZhabotinsky,Sparse KFs with gamma=0.0001,MSE,2.5335915405408874e-05
BelousovZhabotinsky,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.3450894712787763
BelousovZhabotinsky,Sparse KFs with gamma=0.0001,SMAPE,0.0043408234733377
BelousovZhabotinsky,Sparse KFs with gamma=0.001,MSE,3.379952430735311e-05
BelousovZhabotinsky,Sparse KFs with gamma=0.001,Hausdorff Distance,0.3461557494768673
BelousovZhabotinsky,Sparse KFs with gamma=0.001,SMAPE,0.003339940419616
BelousovZhabotinsky,Sparse KFs with gamma=0.01,MSE,7.083669232904555e-07
BelousovZhabotinsky,Sparse KFs with gamma=0.01,Hausdorff Distance,0.0613844878030216
BelousovZhabotinsky,Sparse KFs with gamma=0.01,SMAPE,0.0002150442984408
BelousovZhabotinsky,Sparse KFs with gamma=0.1,MSE,1.5143885299488178e-05
BelousovZhabotinsky,Sparse KFs with gamma=0.1,Hausdorff Distance,0.3031636536113724
BelousovZhabotinsky,Sparse KFs with gamma=0.1,SMAPE,0.003565721700314
BelousovZhabotinsky,Sparse KFs with gamma=1.0,MSE,2.45457386097924e-06
BelousovZhabotinsky,Sparse KFs with gamma=1.0,Hausdorff Distance,0.1339163629861943
BelousovZhabotinsky,Sparse KFs with gamma=1.0,SMAPE,0.0009215687227828
BelousovZhabotinsky,Sparse KFs with gamma=10.0,MSE,0.0007345149763488
BelousovZhabotinsky,Sparse KFs with gamma=10.0,Hausdorff Distance,1.9682399787090763
BelousovZhabotinsky,Sparse KFs with gamma=10.0,SMAPE,0.0064461612862214
BelousovZhabotinsky,Trained Gaussian kernel,MSE,0.8284757106032514
BelousovZhabotinsky,Trained Gaussian kernel,Hausdorff Distance,43.5484294529633
BelousovZhabotinsky,Trained Gaussian kernel,SMAPE,0.0013331859413291
BelousovZhabotinsky,Random Initialization,MSE,0.1348050953032472
BelousovZhabotinsky,Random Initialization,Hausdorff Distance,21.245112368674928
BelousovZhabotinsky,Random Initialization,SMAPE,0.1152826136069216
BelousovZhabotinsky,Gaussian kernel with sigma=0.5,MSE,9.704676412639756
BelousovZhabotinsky,Gaussian kernel with sigma=0.5,Hausdorff Distance,215.8174094707325
