Name,res_type,MSE_On_test_1,R2_1,smape_1,directed_hausdorff_1,lasso_gamma
Thomas,Trained Gaussian kernel,2.0654500495064362e-07,0.999999792998556,0.0020757979155227664,0.019205974246383234,0.0
ThomasLabyrinth,Trained Gaussian kernel,2.5781551309021427e-05,0.9999759676962549,0.014283981280721633,0.21171720776346417,0.0
Torus,Sparse KFs with gamma=0.1,4.9780136128583635e-08,0.9999999995655958,6.75841571063421e-05,0.017487899751346167,0.10000000000000002
Tsucs2,Sparse KFs with gamma=0.001,5.072311668117385e-09,0.999999996805686,0.00028344309757233333,0.0052175887529712995,0.001
TurchinHanski,Sparse KFs with gamma=1.0,3.8046553109249733e-07,0.9999997308234847,0.0003889508078492667,0.040328418695787766,1.0
VallisElNino,Sparse KFs with gamma=0.001,3.5621367200508444e-09,0.9999999966073406,0.0001227457049462,0.003985143740383667,0.001
VossDelay,Sparse KFs with gamma=1.0,0.001972837894909167,0.9982040574069049,0.028966887177936235,4.100413745727008,1.0
WangSun,Sparse KFs with gamma=0.0001,1.2219193897670004e-06,0.9999988324241432,0.0013460705263920335,0.062020466859992164,0.0001
WindmiReduced,Sparse KFs with gamma=1.0,2.4843638081766538e-05,0.999991842989511,0.0001265259202590353,0.4224319061648279,1.0
YuWang,Sparse KFs with gamma=1.0,1.4141000689981862e-05,0.9999936310305118,0.0009467298771658666,0.2871239845381119,1.0
YuWang2,Sparse KFs with gamma=10.0,4.594241027518724e-07,0.9999998044354218,0.0005451569982943401,0.042226224581434796,10.0
ZhouChen,Sparse KFs with gamma=0.1,5.3460515455200845e-08,0.9999999625786632,0.001965699578573933,0.0159669791592996,0.10000000000000002
